﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take On Me","a-ha","Hunting High And Low","1","1","225280","spotify:user:12478133","2016-09-28T04:29:53Z"
"spotify:track:1DqdF42leyFIzqNDv9CjId","Dynamite","Taio Cruz","Rokstarr","1","1","203866","spotify:user:12478133","2016-09-28T04:31:30Z"
"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Timber","Pitbull, Ke$ha","Global Warming: Meltdown (Deluxe Version)","1","13","204160","spotify:user:12478133","2016-09-28T04:32:12Z"
"spotify:track:6uQKuonTU8VKBz5SHZuQXD","This Is How We Do It","Montell Jordan","This Is How We Do It","1","1","238800","spotify:user:12478133","2016-09-28T04:32:47Z"
"spotify:track:4h8VwCb1MTGoLKueQ1WgbD","Wake Me Up","Avicii","True","1","1","247426","spotify:user:12478133","2016-09-28T04:33:12Z"
"spotify:track:3E5XrOtqMAs7p2wKhwgOjf","Just Dance","Lady Gaga, Colby O'Donis","The Fame Monster (Deluxe)","1","9","241933","spotify:user:12478133","2016-09-28T04:33:39Z"
"spotify:track:3OT3Kg4jyVkdZm4Ncz6JgX","Poker Face","Lady Gaga","The Fame Monster (Deluxe)","1","12","237213","spotify:user:12478133","2016-09-28T04:33:58Z"
"spotify:track:7kWhdmRYv8CqbWNqfojqVd","Let's Stay Together","Al Green","Let's Stay Together","1","1","199400","spotify:user:12478133","2016-09-28T04:35:13Z"
"spotify:track:3VZQshi4COChhXaz7cLP02","I Love It (feat. Charli XCX) - Original Version","Icona Pop, Charli XCX","I Love It","1","1","155337","spotify:user:12478133","2016-09-28T04:36:08Z"
"spotify:track:3xdjjKMcMOFgo1eQrfbogM","Wagon Wheel","Darius Rucker","True Believers","1","3","298400","spotify:user:12478133","2016-09-28T04:36:40Z"
"spotify:track:3lrNq7iGL5r3KS93YiKAbC","Don't Stop Me Now","Queen","Greatest Hits","1","15","209600","spotify:user:12478133","2016-09-28T04:37:10Z"
"spotify:track:3tFECpGckFpp0HpQje78gi","Forever Young","Youth Group","Casino Twilight Dogs","1","8","239120","spotify:user:12478133","2016-09-28T04:37:37Z"
