Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0rDPgBLRNgOionDMHWLODv","All Day And All Of The Night","The Kinks","The Singles Collection","1","4","141826","spotify:user:1251123611","2016-10-05T03:02:07Z"
"spotify:track:4yUgj0i6ttqorcmQYmkQIF","Rhythm Is A Dancer","SNAP!","The Madman's Return","1","6","332226","spotify:user:1251123611","2016-10-05T03:02:28Z"
"spotify:track:6mwZS6fLcQP1wKv3HN3OcY","Maneater","Daryl Hall & John Oates","The Best Of The 80's","1","9","264853","spotify:user:1251123611","2016-10-05T03:02:34Z"
"spotify:track:4NM09wCZmvxhWcOcdWll6H","Light My Fire - New Stereo Mix Advanced Resolution","The Doors","The Future Starts Here: The Essential Doors Hits","1","2","418386","spotify:user:1251123611","2016-10-05T03:03:04Z"
"spotify:track:4zmx3vEPgRPjRT2CszUsZo","White Wedding - Part 1 - 2001- Remaster","Billy Idol","Billy Idol","1","2","250760","spotify:user:1251123611","2016-10-05T03:03:50Z"
"spotify:track:4WiIscpBgQFm5qIyjoH7M4","Heads Will Roll","Yeah Yeah Yeahs","It's Blitz!","1","2","221000","spotify:user:1251123611","2016-10-05T03:05:44Z"
"spotify:track:1oG2vWELiGjIqxwqGcyqwF","You Really Got Me","The Kinks","Kinks (Super Deluxe Edition)","2","7","133933","spotify:user:1251123611","2016-10-05T03:05:52Z"
"spotify:track:6KkAC41nNRiWA6w3ZD9cJ8","Jump in the Line","Harry Belafonte","Greatest Hits","3","1","224733","spotify:user:1251123611","2016-10-05T03:06:24Z"
"spotify:track:4lCv7b86sLynZbXhfScfm2","Firework","Katy Perry","Katy Perry - Teenage Dream: The Complete Confection","1","4","227880","spotify:user:1251123611","2016-10-05T03:06:32Z"
"spotify:track:22PMfvdz35fFKYnJyMn077","Marry You","Bruno Mars","Doo-Wops & Hooligans","1","6","230120","spotify:user:1251123611","2016-10-05T03:07:57Z"
"spotify:track:70wYA8oYHoMzhRRkARoMhU","When You Were Young","The Killers","Sam's Town","1","3","220426","spotify:user:1251123611","2016-10-05T03:09:59Z"
